time,observed_ozone_NIWA(DU),modeled_ozone(DU),tsi_impact,halogen_impact(DU),aerosol_impact(DU),QBO_30mb_impact(DU)
Output created in ~tcanty/TOTAL_OZONE on Tue Nov  1 18:22:13 2016
 2010.875     3.120   -2.329   -0.445 1691.029    0.144    1.310
 2010.958     2.640   -2.291   -0.505 1689.373    0.117    1.130
 2011.042     1.650   -1.850   -0.465 1687.715    0.136    0.910
 2011.125     1.420   -2.001   -0.505 1686.060    0.177    0.900
 2011.208     0.710   -1.922   -0.505 1684.198    0.151    0.870
 2011.292    -2.710   -0.618   -0.175 1682.543    0.131    0.870
 2011.375    -3.660   -0.680   -0.175 1680.681    0.105    0.950
 2011.458    -2.980   -0.400   -0.195 1679.025    0.116    0.680
 2011.542    -1.350   -0.721   -0.315 1677.367    0.125    0.580
 2011.625    -1.050   -1.039   -0.425 1675.710    0.129    0.510
 2011.708    -2.270   -0.784   -0.445 1673.843    0.143    0.260
 2011.792    -1.260    0.136   -0.255 1672.183    0.138    0.130
 2011.875    -0.080    1.524   -0.085 1670.312    0.144   -0.430
 2011.958    -1.560    3.010    0.075 1668.646    0.117   -1.080
